timestamp,action,option_type,ticker,strike,expiry,right,price,quantity,delta,gamma,theta,vega,implied_volatility,time_to_expiry_days,underlying_price,intrinsic_value,time_value,pnl,cumulative_pnl,commission,contract_symbol,notes
2025-09-10T17:43:29.838062,BUY_TO_CLOSE,SHORT_CALL,SPY,661.0,20251010,C,4.92,1,0.3679,0.0191,-0.2184,0.6984,0.1058,30,653.18,0,4.92,-102.0,-102.0,0.0,SPY 20251010 661.0C,Stop loss on short
2025-09-10T17:55:23.810237,SELL,SHORT_CALL,SPY,665.0,20251010,C,3.5,1,0.2947,0.0182,-0.1428,0.639,0.1015,30,653.61,0,3.5,0,-102.0,0.0,SPY 20251010 665.0C,Sold short call against LEAPS
