timestamp,action,ticker,strike,expiry,price,pnl
2025-09-08T16:32:33.483378,BUY,SPY,649.0,20250909,1.64,0
2025-09-08T16:56:25.200715,SELL,SPY,649.0,20250909,1.83,19.0
2025-09-08T17:20:18.046033,BUY,LEAPS,SPY,620.0,20260918,74.6,0.7020277090669053,0,0.0,Initial LEAPS purchase
